Company,Industry,Region,AI_Investment_USD_Millions,Revenue_Growth_Pct,Profit_Margin_Pct,Employee_Productivity_Score,AI_ROI_Pct,Year,Quarter
Microsoft,Tech,North America,8200,17.2,36.1,84,31.4,2024,Q1
Microsoft,Tech,North America,8900,18.1,36.8,86,33.2,2024,Q2
Microsoft,Tech,North America,9400,19.4,37.2,87,34.1,2024,Q3
Microsoft,Tech,North America,9800,20.1,37.9,88,35.6,2024,Q4
Google,Tech,North America,7600,11.4,24.8,81,18.2,2024,Q1
Google,Tech,North America,8100,12.2,25.1,82,19.4,2024,Q2
Google,Tech,North America,8700,13.0,24.6,81,17.8,2024,Q3
Google,Tech,North America,9200,12.7,25.3,83,18.9,2024,Q4
Meta,Tech,North America,6800,21.8,31.2,79,28.7,2024,Q1
Meta,Tech,North America,7200,22.4,32.1,80,29.3,2024,Q2
IBM,Tech,North America,3100,2.1,12.4,67,6.8,2024,Q1
IBM,Tech,North America,3300,1.8,11.9,66,5.9,2024,Q2
IBM,Tech,North America,3400,2.4,12.1,67,6.2,2024,Q3
IBM,Tech,North America,3500,1.6,11.4,65,4.8,2024,Q4
Salesforce,Tech,North America,2400,9.2,8.1,72,11.3,2024,Q1
Salesforce,Tech,North America,2600,8.8,7.6,71,9.8,2024,Q2
JPMorgan Chase,Finance,North America,4200,8.4,28.6,76,14.2,2024,Q1
JPMorgan Chase,Finance,North America,4500,9.1,29.2,77,15.8,2024,Q2
JPMorgan Chase,Finance,North America,4700,9.8,29.7,78,16.4,2024,Q3
JPMorgan Chase,Finance,North America,4900,10.2,30.1,79,17.1,2024,Q4
Goldman Sachs,Finance,North America,3100,4.2,18.4,73,8.6,2024,Q1
Goldman Sachs,Finance,North America,3300,3.8,17.9,72,7.4,2024,Q2
Goldman Sachs,Finance,North America,3500,4.6,18.2,74,8.1,2024,Q3
Citi,Finance,North America,2800,-1.2,6.4,61,-3.8,2024,Q1
Citi,Finance,North America,2900,-0.8,6.9,62,-2.4,2024,Q2
