region_code,region_name,year,dc_demand_gw,renewable_share_pct,carbon_intensity_gco2_kwh,avg_electricity_rate_usd_kwh
US-VA,Virginia (NOVA),2020,5.2,18,390,0.070
US-VA,Virginia (NOVA),2021,6.8,20,375,0.071
US-VA,Virginia (NOVA),2022,9.1,22,360,0.074
US-VA,Virginia (NOVA),2023,12.4,25,345,0.076
US-VA,Virginia (NOVA),2024,16.0,28,330,0.079
US-NE,Northeast US,2020,2.1,34,210,0.165
US-NE,Northeast US,2021,2.5,36,205,0.170
US-NE,Northeast US,2022,3.0,38,200,0.178
US-NE,Northeast US,2023,3.8,41,195,0.183
US-NE,Northeast US,2024,4.5,44,188,0.190
US-SW,Southwest US,2020,1.8,28,320,0.097
US-SW,Southwest US,2021,2.2,31,305,0.098
US-SW,Southwest US,2022,3.1,35,290,0.100
US-SW,Southwest US,2023,4.2,39,270,0.102
US-SW,Southwest US,2024,5.8,44,250,0.104
US-MW,Midwest US,2020,1.5,18,560,0.095
US-MW,Midwest US,2021,1.7,20,540,0.096
US-MW,Midwest US,2022,2.0,23,515,0.098
US-MW,Midwest US,2023,2.6,27,490,0.100
US-MW,Midwest US,2024,3.2,31,460,0.103
US-NW,Northwest US,2020,0.8,72,85,0.075
US-NW,Northwest US,2021,0.9,74,82,0.076
US-NW,Northwest US,2022,1.1,75,80,0.078
US-NW,Northwest US,2023,1.4,77,78,0.079
US-NW,Northwest US,2024,1.8,79,75,0.081
